Date,Temperature 'Max,Temperature Avg,Temper atureMin,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
5/1/2019,72,65,57,56,50,47,78,-,41,23,-,0,29.78,-,29.6,-,0.43,-
5/2/2019,68,59,49,55,45,38,93,-,37,13,-,4,29.92,-,29.78,-,0.04,-
5/3/2019,75,65,55,49,41,37,72,-,29,13,-,0,29.94,-,29.76,-,0,-
5/4/2019,78,66,53,50,37,34,69,-,20,28,-,0,29.94,-,29.74,-,0,-
5/5/2019,83,70,56,56,43,33,80,-,21,35,-,0,30.02,-,29.84,-,0.08,-
5/6/2019,77,65,53,53,42,35,86,-,23,17,-,4,30.13,-,29.95,-,0,-
5/7/2019,86,73,60,42,39,36,46,-,17,18,-,4,30.12,-,29.96,-,0,-
5/8/2019,72,66,59,58,49,40,90,-,31,26,-,4,30.02,-,29.87,-,0.37,-
5/9/2019,65,60,55,56,55,52,93,-,67,29,-,4,29.81,-,29.68,-,0.11,-
5/10/2019,60,53,45,51,32,25,86,-,28,20,-,0,30.09,-,29.85,-,0,-
5/11/2019,53,50,47,43,35,22,77,-,32,20,-,8,30.08,-,30,-,0,-
5/12/2019,61,54,46,44,39,31,86,-,32,17,-,0,30.17,-,30.08,-,0.01,-
5/13/2019,73,59,44,56,49,41,92,-,53,12,-,0,30.11,-,29.91,-,0,-
5/14/2019,75,67,58,62,58,54,100,-,46,17,-,0,29.94,-,29.85,-,0.18,-
5/15/2019,78,65,52,61,47,35,100,-,23,13,-,0,30.07,-,29.91,-,0,-
5/16/2019,87,71,55,55,50,45,77,-,29,15,-,0,29.99,-,29.88,-,0,-
5/17/2019,85,72,59,59,55,51,78,-,34,22,-,0,30.04,-,29.92,-,0,-
5/18/2019,84,71,58,59,51,43,64,-,33,22,-,8,30.03,-,29.85,-,0.01,-
5/19/2019,72,62,51,61,52,40,87,-,63,22,-,7,30.15,-,29.84,-,0.02,-
5/20/2019,73,60,46,42,36,31,71,-,22,18,-,6,30.26,-,30.13,-,0,-
5/21/2019,71,65,59,55,50,40,87,-,46,16,-,5,30.14,-,30,-,0,-
5/22/2019,76,67,57,58,57,54,93,-,54,13,-,0,30.08,-,30.01,-,0,-
5/23/2019,84,73,62,66,61,59,90,-,46,13,-,5,30.14,-,30.03,-,0,-
5/24/2019,92,80,68,67,65,60,84,-,36,38,-,6,30.04,-,29.85,-,0.61,-
5/25/2019,90,78,66,69,64,57,93,-,38,30,-,4,29.89,-,29.65,-,0.16,-
5/26/2019,94,81,67,64,59,52,87,-,26,16,-,0,29.73,-,29.67,-,0,-
5/27/2019,91,79,67,65,62,55,84,-,35,17,-,0,29.86,-,29.74,-,0,-
5/28/2019,100,87,73,66,59,47,64,-,26,35,-,0,29.95,-,29.79,-,0.01,-
5/29/2019,94,81,68,71,66,60,100,-,36,26,-,0,29.89,-,29.74,-,0.89,-
5/30/2019,74,70,66,69,67,65,100,-,79,16,-,0,29.78,-,29.56,-,0.07,-
5/31/2019,86,75,64,68,65,61,100,-,48,16,-,0,29.81,-,29.58,-,0,-
